DATE,INFECTDISEMVTRACKD
2018-12-31,1.65000
2019-01-01,0.00000
2019-01-02,0.00000
2019-01-03,0.40000
2019-01-04,0.46000
2019-01-05,2.17000
2019-01-06,0.00000
2019-01-07,0.00000
2019-01-08,1.55000
2019-01-09,5.67000
2019-01-10,0.00000
2019-01-11,0.43000
2019-01-12,0.00000
2019-01-13,2.66000
2019-01-14,0.00000
2019-01-15,0.00000
2019-01-16,0.00000
2019-01-17,0.00000
2019-01-18,0.88000
2019-01-19,0.00000
2019-01-20,0.67000
2019-01-21,0.00000
2019-01-22,0.00000
2019-01-23,0.38000
2019-01-24,0.00000
2019-01-25,0.00000
2019-01-26,0.00000
2019-01-27,1.25000
2019-01-28,0.00000
2019-01-29,0.51000
2019-01-30,0.75000
2019-01-31,0.38000
2019-02-01,0.00000
2019-02-02,0.00000
2019-02-03,0.65000
2019-02-04,0.00000
2019-02-05,0.00000
2019-02-06,0.00000
2019-02-07,0.00000
2019-02-08,0.00000
2019-02-09,0.00000
2019-02-10,0.00000
2019-02-11,0.00000
2019-02-12,0.00000
2019-02-13,0.00000
2019-02-14,0.37000
2019-02-15,0.43000
2019-02-16,0.00000
2019-02-17,1.68000
2019-02-18,0.00000
2019-02-19,0.00000
2019-02-20,0.00000
2019-02-21,0.00000
2019-02-22,0.00000
2019-02-23,0.00000
2019-02-24,0.00000
2019-02-25,0.00000
2019-02-26,0.00000
2019-02-27,0.00000
2019-02-28,0.00000
2019-03-01,0.00000
2019-03-02,0.00000
2019-03-03,0.00000
2019-03-04,0.00000
2019-03-05,1.56000
2019-03-06,0.00000
2019-03-07,0.00000
2019-03-08,0.00000
2019-03-09,0.00000
2019-03-10,0.00000
2019-03-11,0.00000
2019-03-12,0.00000
2019-03-13,0.00000
2019-03-14,1.08000
2019-03-15,0.44000
2019-03-16,0.00000
2019-03-17,1.30000
2019-03-18,0.70000
2019-03-19,0.51000
2019-03-20,0.36000
2019-03-21,0.38000
2019-03-22,0.45000
2019-03-23,0.00000
2019-03-24,1.90000
2019-03-25,0.00000
2019-03-26,1.45000
2019-03-27,0.00000
2019-03-28,0.38000
2019-03-29,0.00000
2019-03-30,0.00000
2019-03-31,1.30000
2019-04-01,0.00000
2019-04-02,0.00000
2019-04-03,0.00000
2019-04-04,0.00000
2019-04-05,1.65000
2019-04-06,1.59000
2019-04-07,0.00000
2019-04-08,1.62000
2019-04-09,0.00000
2019-04-10,0.00000
2019-04-11,0.49000
2019-04-12,0.00000
2019-04-13,0.00000
2019-04-14,0.00000
2019-04-15,0.00000
2019-04-16,0.00000
2019-04-17,0.00000
2019-04-18,0.49000
2019-04-19,1.14000
2019-04-20,0.00000
2019-04-21,1.51000
2019-04-22,1.73000
2019-04-23,0.63000
2019-04-24,0.00000
2019-04-25,0.00000
2019-04-26,0.00000
2019-04-27,1.57000
2019-04-28,2.16000
2019-04-29,0.83000
2019-04-30,1.83000
2019-05-01,0.48000
2019-05-02,0.00000
2019-05-03,0.55000
2019-05-04,0.78000
2019-05-05,0.00000
2019-05-06,0.85000
2019-05-07,0.61000
2019-05-08,0.00000
2019-05-09,0.00000
2019-05-10,0.00000
2019-05-11,0.00000
2019-05-12,1.45000
2019-05-13,0.00000
2019-05-14,0.00000
2019-05-15,0.00000
2019-05-16,0.94000
2019-05-17,1.13000
2019-05-18,0.00000
2019-05-19,0.00000
2019-05-20,1.72000
2019-05-21,0.00000
2019-05-22,0.00000
2019-05-23,2.08000
2019-05-24,0.58000
2019-05-25,0.00000
2019-05-26,2.20000
2019-05-27,0.00000
2019-05-28,0.71000
2019-05-29,0.00000
2019-05-30,2.09000
2019-05-31,1.74000
2019-06-01,1.67000
2019-06-02,0.00000
2019-06-03,0.00000
2019-06-04,0.00000
2019-06-05,0.00000
2019-06-06,0.54000
2019-06-07,1.22000
2019-06-08,0.00000
2019-06-09,2.37000
2019-06-10,0.00000
2019-06-11,0.00000
2019-06-12,0.00000
2019-06-13,0.58000
2019-06-14,0.00000
2019-06-15,0.00000
2019-06-16,0.00000
2019-06-17,0.00000
2019-06-18,0.00000
2019-06-19,1.09000
2019-06-20,0.54000
2019-06-21,0.00000
2019-06-22,0.00000
2019-06-23,1.51000
2019-06-24,1.78000
2019-06-25,0.00000
2019-06-26,0.00000
2019-06-27,0.55000
2019-06-28,0.00000
2019-06-29,0.00000
2019-06-30,0.73000
2019-07-01,0.00000
2019-07-02,0.00000
2019-07-03,0.57000
2019-07-04,0.00000
2019-07-05,0.70000
2019-07-06,0.00000
2019-07-07,0.00000
2019-07-08,0.92000
2019-07-09,0.69000
2019-07-10,0.00000
2019-07-11,0.57000
2019-07-12,0.00000
2019-07-13,0.00000
2019-07-14,0.00000
2019-07-15,3.70000
2019-07-16,0.00000
2019-07-17,0.00000
2019-07-18,0.00000
2019-07-19,1.90000
2019-07-20,0.89000
2019-07-21,0.00000
2019-07-22,0.00000
2019-07-23,0.70000
2019-07-24,0.00000
2019-07-25,0.00000
2019-07-26,0.62000
2019-07-27,0.00000
2019-07-28,0.00000
2019-07-29,0.00000
2019-07-30,0.71000
2019-07-31,0.00000
2019-08-01,0.58000
2019-08-02,0.00000
2019-08-03,1.75000
2019-08-04,3.16000
2019-08-05,0.00000
2019-08-06,0.00000
2019-08-07,0.57000
2019-08-08,0.00000
2019-08-09,0.65000
2019-08-10,0.00000
2019-08-11,0.00000
2019-08-12,0.00000
2019-08-13,0.00000
2019-08-14,1.14000
2019-08-15,1.14000
2019-08-16,0.60000
2019-08-17,0.00000
2019-08-18,0.82000
2019-08-19,1.78000
2019-08-20,0.00000
2019-08-21,0.00000
2019-08-22,0.55000
2019-08-23,1.80000
2019-08-24,0.00000
2019-08-25,1.52000
2019-08-26,0.00000
2019-08-27,1.30000
2019-08-28,0.00000
2019-08-29,0.55000
2019-08-30,0.00000
2019-08-31,0.80000
2019-09-01,0.75000
2019-09-02,1.26000
2019-09-03,0.00000
2019-09-04,0.00000
2019-09-05,0.00000
2019-09-06,0.57000
2019-09-07,0.00000
2019-09-08,0.76000
2019-09-09,1.69000
2019-09-10,1.33000
2019-09-11,0.00000
2019-09-12,1.10000
2019-09-13,1.18000
2019-09-14,0.00000
2019-09-15,1.53000
2019-09-16,0.00000
2019-09-17,0.61000
2019-09-18,0.00000
2019-09-19,1.64000
2019-09-20,1.16000
2019-09-21,0.00000
2019-09-22,2.29000
2019-09-23,0.00000
2019-09-24,0.56000
2019-09-25,0.53000
2019-09-26,1.09000
2019-09-27,0.00000
2019-09-28,0.00000
2019-09-29,0.75000
2019-09-30,0.00000
2019-10-01,0.00000
2019-10-02,1.06000
2019-10-03,0.51000
2019-10-04,0.58000
2019-10-05,0.77000
2019-10-06,1.52000
2019-10-07,0.00000
2019-10-08,0.64000
2019-10-09,0.51000
2019-10-10,0.00000
2019-10-11,2.25000
2019-10-12,1.51000
2019-10-13,1.55000
2019-10-14,1.86000
2019-10-15,1.31000
2019-10-16,0.52000
2019-10-17,0.54000
2019-10-18,0.58000
2019-10-19,0.00000
2019-10-20,2.36000
2019-10-21,0.81000
2019-10-22,0.65000
2019-10-23,0.00000
