release_date,Average Daily Compound Score,Average Daily Compound Score ex 0s,Sum Composite Score,VIX,VIX x .01,VIX x .001
9/1/2020,0.112,0.17,6.628,26.120001,0.26120001,0.026120001
9/2/2020,0.046,0.092,2.565,26.57,0.2657,0.02657
9/3/2020,0.041,0.077,2.232,33.599998,0.33599998,0.033599998
9/4/2020,0.162,0.364,1.456,30.75,0.3075,0.03075
9/5/2020,-0.029,-0.202,-0.202,30.75,0.3075,0.03075
9/6/2020,-0.033,-0.056,-0.335,30.75,0.3075,0.03075
9/7/2020,0.002,0.003,0.098,30.75,0.3075,0.03075
9/8/2020,0.001,0.003,0.052,31.459999,0.31459999,0.031459999
9/9/2020,0.056,0.139,2.776,28.809999,0.28809999,0.028809999
9/10/2020,0.089,0.175,5.943,29.709999,0.29709999,0.029709999
9/11/2020,0.107,0.24,0.959,26.870001,0.26870001,0.026870001
9/12/2020,0.117,0.586,0.586,26.870001,0.26870001,0.026870001
9/13/2020,0.046,0.103,2.875,26.870001,0.26870001,0.026870001
9/14/2020,0.093,0.232,5.568,25.85,0.2585,0.02585
9/15/2020,0.084,0.19,5.514,25.59,0.2559,0.02559
9/16/2020,0.093,0.17,5.088,26.040001,0.26040001,0.026040001
9/17/2020,-0.014,-0.024,-0.836,26.459999,0.26459999,0.026459999
9/18/2020,0.108,0.243,0.972,25.83,0.2583,0.02583
9/19/2020,0.004,0.007,0.057,25.83,0.2583,0.02583
9/20/2020,0.062,0.127,3.546,25.83,0.2583,0.02583
9/21/2020,0.047,0.099,2.465,27.780001,0.27780001,0.027780001
9/22/2020,0.085,0.152,4.698,26.860001,0.26860001,0.026860001
9/23/2020,0.091,0.169,4.385,28.58,0.2858,0.02858
9/24/2020,0.091,0.198,5.542,28.51,0.2851,0.02851
9/25/2020,0.281,0.375,2.251,26.379999,0.26379999,0.026379999
9/26/2020,0.174,0.522,1.044,26.379999,0.26379999,0.026379999
9/27/2020,0.081,0.188,3.949,26.379999,0.26379999,0.026379999
9/28/2020,0.076,0.168,5.025,26.190001,0.26190001,0.026190001
9/29/2020,0.057,0.102,3.674,26.27,0.2627,0.02627
9/30/2020,0.117,0.208,6.456,26.370001,0.26370001,0.026370001
10/1/2020,0.029,0.055,0.495,26.700001,0.26700001,0.026700001
10/2/2020,-0.3,-0.45,-0.9,27.629999,0.27629999,0.027629999
10/3/2020,0.048,0.098,2.547,27.629999,0.27629999,0.027629999
10/4/2020,0.07,0.135,3.498,27.629999,0.27629999,0.027629999
10/5/2020,0.117,0.242,6.297,27.959999,0.27959999,0.027959999
10/6/2020,0.064,0.14,3.629,29.48,0.2948,0.02948
10/7/2020,0.145,0.276,8.567,28.059999,0.28059999,0.028059999
10/8/2020,0.123,0.184,0.736,26.360001,0.26360001,0.026360001
