Trade Date,Underlying,Product Type,Exchange,Volume
2013/07/30,SPX,I,CBOE,543039
2013/07/31,SPX,I,CBOE,617947
2013/08/01,SPX,I,CBOE,1037491
2013/08/02,SPX,I,CBOE,816567
2013/08/05,SPX,I,CBOE,622180
2013/08/06,SPX,I,CBOE,575442
2013/08/07,SPX,I,CBOE,536822
2013/08/08,SPX,I,CBOE,648401
2013/08/09,SPX,I,CBOE,676447
2013/08/12,SPX,I,CBOE,487520
2013/08/13,SPX,I,CBOE,664888
2013/08/14,SPX,I,CBOE,693272
2013/08/15,SPX,I,CBOE,1282219
2013/08/16,SPX,I,CBOE,923899
2013/08/19,SPX,I,CBOE,744217
2013/08/20,SPX,I,CBOE,602272
2013/08/21,SPX,I,CBOE,1044975
2013/08/22,SPX,I,CBOE,644700
2013/08/23,SPX,I,CBOE,581189
2013/08/26,SPX,I,CBOE,420016
2013/08/27,SPX,I,CBOE,1050133
2013/08/28,SPX,I,CBOE,790297
2013/08/29,SPX,I,CBOE,591529
2013/08/30,SPX,I,CBOE,645788
2013/09/03,SPX,I,CBOE,606037
2013/09/04,SPX,I,CBOE,676046
2013/09/05,SPX,I,CBOE,632374
2013/09/06,SPX,I,CBOE,864086
2013/09/09,SPX,I,CBOE,541568
2013/09/10,SPX,I,CBOE,902865
2013/09/11,SPX,I,CBOE,1028030
2013/09/12,SPX,I,CBOE,727784
2013/09/13,SPX,I,CBOE,597019
2013/09/16,SPX,I,CBOE,1013039
2013/09/17,SPX,I,CBOE,752382
2013/09/18,SPX,I,CBOE,1463177
2013/09/19,SPX,I,CBOE,1237472
2013/09/20,SPX,I,CBOE,900892
2013/09/23,SPX,I,CBOE,728767
2013/09/24,SPX,I,CBOE,599806
2013/09/25,SPX,I,CBOE,693846
2013/09/26,SPX,I,CBOE,693833
2013/09/27,SPX,I,CBOE,901509
2013/09/30,SPX,I,CBOE,813417
2013/10/01,SPX,I,CBOE,752362
2013/10/02,SPX,I,CBOE,778295
2013/10/03,SPX,I,CBOE,931537
2013/10/04,SPX,I,CBOE,765026
2013/10/07,SPX,I,CBOE,579753
2013/10/08,SPX,I,CBOE,1039642
2013/10/09,SPX,I,CBOE,1069683
2013/10/10,SPX,I,CBOE,1161001
2013/10/11,SPX,I,CBOE,903318
2013/10/14,SPX,I,CBOE,925102
2013/10/15,SPX,I,CBOE,928517
2013/10/16,SPX,I,CBOE,1361954
2013/10/17,SPX,I,CBOE,1636913
2013/10/18,SPX,I,CBOE,1342393
2013/10/21,SPX,I,CBOE,685036
2013/10/22,SPX,I,CBOE,913548
2013/10/23,SPX,I,CBOE,648646
2013/10/24,SPX,I,CBOE,587321
2013/10/25,SPX,I,CBOE,569095
2013/10/28,SPX,I,CBOE,870873
2013/10/29,SPX,I,CBOE,583508
2013/10/30,SPX,I,CBOE,1036550
2013/10/31,SPX,I,CBOE,689335
2013/11/01,SPX,I,CBOE,673897
2013/11/04,SPX,I,CBOE,512994
2013/11/05,SPX,I,CBOE,564089
2013/11/06,SPX,I,CBOE,603404
2013/11/07,SPX,I,CBOE,813489
2013/11/08,SPX,I,CBOE,827095
2013/11/11,SPX,I,CBOE,606662
2013/11/12,SPX,I,CBOE,905819
2013/11/13,SPX,I,CBOE,830614
2013/11/14,SPX,I,CBOE,1361600
2013/11/15,SPX,I,CBOE,776425
2013/11/18,SPX,I,CBOE,755168
2013/11/19,SPX,I,CBOE,725952
2013/11/20,SPX,I,CBOE,861015
2013/11/21,SPX,I,CBOE,520907
2013/11/22,SPX,I,CBOE,770737
2013/11/25,SPX,I,CBOE,645786
2013/11/26,SPX,I,CBOE,567839
2013/11/27,SPX,I,CBOE,611889
2013/11/29,SPX,I,CBOE,648444
2013/12/02,SPX,I,CBOE,551091
2013/12/03,SPX,I,CBOE,643300
2013/12/04,SPX,I,CBOE,761223
2013/12/05,SPX,I,CBOE,840721
2013/12/06,SPX,I,CBOE,900544
2013/12/09,SPX,I,CBOE,636855
2013/12/10,SPX,I,CBOE,618350
2013/12/11,SPX,I,CBOE,864492
2013/12/12,SPX,I,CBOE,844164
2013/12/13,SPX,I,CBOE,878985
2013/12/16,SPX,I,CBOE,628661
2013/12/17,SPX,I,CBOE,749302
2013/12/18,SPX,I,CBOE,1431152
2013/12/19,SPX,I,CBOE,1409558
2013/12/20,SPX,I,CBOE,1310126
2013/12/23,SPX,I,CBOE,652874
2013/12/24,SPX,I,CBOE,447804
2013/12/26,SPX,I,CBOE,688858
2013/12/27,SPX,I,CBOE,798496
2013/12/30,SPX,I,CBOE,684071
2013/12/31,SPX,I,CBOE,841081
2014/01/02,SPX,I,CBOE,1116255
2014/01/03,SPX,I,CBOE,891723
2014/01/06,SPX,I,CBOE,654604
2014/01/07,SPX,I,CBOE,635217
2014/01/08,SPX,I,CBOE,717459
2014/01/09,SPX,I,CBOE,769794
2014/01/10,SPX,I,CBOE,883268
2014/01/13,SPX,I,CBOE,938417
2014/01/14,SPX,I,CBOE,781241
2014/01/15,SPX,I,CBOE,872773
2014/01/16,SPX,I,CBOE,867161
2014/01/17,SPX,I,CBOE,788984
2014/01/21,SPX,I,CBOE,551199
2014/01/22,SPX,I,CBOE,731268
2014/01/23,SPX,I,CBOE,967282
2014/01/24,SPX,I,CBOE,1460231
2014/01/27,SPX,I,CBOE,1434826
2014/01/28,SPX,I,CBOE,598524
2014/01/29,SPX,I,CBOE,919528
2014/01/30,SPX,I,CBOE,779690
2014/01/31,SPX,I,CBOE,1043681
2014/02/03,SPX,I,CBOE,1563525
2014/02/04,SPX,I,CBOE,1057504
2014/02/05,SPX,I,CBOE,821664
2014/02/06,SPX,I,CBOE,937058
2014/02/07,SPX,I,CBOE,1112752
2014/02/10,SPX,I,CBOE,615989
2014/02/11,SPX,I,CBOE,1519945
2014/02/12,SPX,I,CBOE,727572
2014/02/13,SPX,I,CBOE,853496
2014/02/14,SPX,I,CBOE,1069631
2014/02/18,SPX,I,CBOE,709700
2014/02/19,SPX,I,CBOE,1454642
2014/02/20,SPX,I,CBOE,906801
2014/02/21,SPX,I,CBOE,862015
2014/02/24,SPX,I,CBOE,905136
2014/02/25,SPX,I,CBOE,559213
2014/02/26,SPX,I,CBOE,604313
2014/02/27,SPX,I,CBOE,701805
2014/02/28,SPX,I,CBOE,1165442
2014/03/03,SPX,I,CBOE,769422
2014/03/04,SPX,I,CBOE,874225
2014/03/05,SPX,I,CBOE,729320
2014/03/06,SPX,I,CBOE,889340
2014/03/07,SPX,I,CBOE,971652
2014/03/10,SPX,I,CBOE,572210
2014/03/11,SPX,I,CBOE,800362
2014/03/12,SPX,I,CBOE,685677
2014/03/13,SPX,I,CBOE,1028281
2014/03/14,SPX,I,CBOE,1058014
2014/03/17,SPX,I,CBOE,643562
2014/03/18,SPX,I,CBOE,874791
2014/03/19,SPX,I,CBOE,925950
2014/03/20,SPX,I,CBOE,943331
2014/03/21,SPX,I,CBOE,910810
2014/03/24,SPX,I,CBOE,698172
2014/03/25,SPX,I,CBOE,509641
2014/03/26,SPX,I,CBOE,784401
2014/03/27,SPX,I,CBOE,742469
