DATE,WLEMUINDXD
2018-09-06,24.80000
2018-09-07,20.57000
2018-09-08,10.67000
2018-09-09,10.15000
2018-09-10,10.34000
2018-09-11,8.10000
2018-09-12,12.45000
2018-09-13,6.00000
2018-09-14,13.54000
2018-09-15,21.71000
2018-09-16,31.42000
2018-09-17,11.02000
2018-09-18,57.30000
2018-09-19,31.36000
2018-09-20,5.93000
2018-09-21,35.07000
2018-09-22,10.82000
2018-09-23,10.52000
2018-09-24,11.14000
2018-09-25,17.19000
2018-09-26,6.10000
2018-09-27,54.23000
2018-09-28,14.48000
2018-09-29,65.72000
2018-09-30,83.78000
2018-10-01,43.76000
2018-10-02,16.37000
2018-10-03,177.91000
2018-10-04,6.03000
2018-10-05,27.99000
2018-10-06,21.81000
2018-10-07,10.82000
2018-10-08,11.81000
2018-10-09,8.24000
2018-10-10,12.39000
2018-10-11,17.95000
2018-10-12,99.73000
2018-10-13,97.60000
2018-10-14,31.70000
2018-10-15,11.26000
2018-10-16,25.41000
2018-10-17,18.60000
2018-10-18,65.72000
2018-10-19,56.79000
2018-10-20,21.66000
2018-10-21,41.63000
2018-10-22,22.38000
2018-10-23,17.08000
2018-10-24,108.69000
2018-10-25,156.69000
2018-10-26,150.53000
2018-10-27,21.89000
2018-10-28,81.97000
2018-10-29,33.72000
2018-10-30,25.24000
2018-10-31,54.95000
2018-11-01,47.78000
2018-11-02,35.14000
2018-11-03,42.77000
2018-11-04,144.13000
2018-11-05,79.17000
2018-11-06,55.86000
2018-11-07,53.53000
2018-11-08,141.71000
2018-11-09,21.53000
2018-11-10,10.99000
2018-11-11,21.11000
2018-11-12,12.35000
2018-11-13,71.71000
2018-11-14,32.18000
2018-11-15,12.56000
2018-11-16,7.27000
2018-11-17,11.47000
2018-11-18,32.31000
2018-11-19,11.72000
2018-11-20,42.68000
2018-11-21,71.23000
2018-11-22,57.25000
2018-11-23,9.06000
2018-11-24,12.88000
2018-11-25,45.25000
2018-11-26,71.71000
2018-11-27,122.19000
2018-11-28,25.85000
2018-11-29,52.00000
2018-11-30,59.69000
2018-12-01,35.02000
2018-12-02,289.51000
2018-12-03,218.99000
2018-12-04,60.86000
